1,China
2,Brazil
3,Indonesia
4,United Kingdom
5,Sweden
6,Canada
7,Norway
8,United States
9,Zambia
10,Netherlands
11,Spain
12,Mali
13,Palestinian Territory
14,Guinea-Bissau
15,Vietnam
16,Yemen
17,Finland
18,Niger
19,Argentina
20,Afghanistan
21,France
22,Russia
23,Poland
24,Philippines
25,Colombia
26,Democratic Republic of the Congo
27,Nigeria
28,Haiti
29,Serbia
30,Ukraine
31,Dominica
32,Mongolia
33,Uganda
34,Portugal
35,Cuba
36,Tunisia
37,Thailand
38,Honduras
39,Ireland
40,Peru
41,Latvia
42,South Korea
43,Japan
44,Madagascar
45,Morocco
46,Macedonia
47,Tajikistan
48,Czech Republic
49,Azerbaijan
50,Luxembourg
51,Israel
52,Pakistan
53,Armenia
54,Uzbekistan
55,Bosnia and Herzegovina
56,Albania
57,Lithuania
58,Greece
59,Egypt
60,Chile
61,Belarus
62,Chad
63,Slovenia
64,Malta
65,Malaysia
66,Croatia
67,Kazakhstan
68,Italy
69,Sudan
70,Hungary
71,North Korea
72,Nepal
73,Germany
74,Syria
